Cuenca/Litoral;Estrato menor;Estrato;Sitio desembarco;Método de pesca;mes;Epoca;Sitio_Metodo_Mes;Cuartil_inf;Cuartil_sup
Atrato;Río Atrato;Darién;La Grande;Línea de mano fija continental;7;No patrón;La Grande_Línea de mano fija continental_7;8;8
Atrato;Río Atrato;Darién;La Grande;Red de enmalle de deriva continental;1;No patrón;La Grande_Red de enmalle de deriva continental_1;44;647
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;1;Época alta;La Grande_Red de enmalle fija continental_1;4;91
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;2;Época alta;La Grande_Red de enmalle fija continental_2;4;91
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;3;Época media;La Grande_Red de enmalle fija continental_3;3;51
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;4;Época media;La Grande_Red de enmalle fija continental_4;3;51
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;5;Época baja;La Grande_Red de enmalle fija continental_5;3;35
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;6;Época baja;La Grande_Red de enmalle fija continental_6;3;35
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;7;Época baja;La Grande_Red de enmalle fija continental_7;3;35
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;8;Época baja;La Grande_Red de enmalle fija continental_8;3;35
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;9;Época baja;La Grande_Red de enmalle fija continental_9;3;35
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;10;Época baja;La Grande_Red de enmalle fija continental_10;3;35
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;11;Época baja;La Grande_Red de enmalle fija continental_11;3;35
Atrato;Río Atrato;Darién;La Grande;Red de enmalle fija continental;12;Época alta;La Grande_Red de enmalle fija continental_12;4;91
Atrato;Río Atrato;Darién;Montaño;Línea de mano fija continental;11;No patrón;Montaño_Línea de mano fija continental_11;8;9
Atrato;Río Atrato;Darién;Montaño;Red de enmalle de deriva continental;2;No patrón;Montaño_Red de enmalle de deriva continental_2;76;76
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;1;Época alta;Montaño_Red de enmalle fija continental_1;3;72
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;2;Época alta;Montaño_Red de enmalle fija continental_2;3;72
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;3;Época media;Montaño_Red de enmalle fija continental_3;3;36
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;4;Época media;Montaño_Red de enmalle fija continental_4;3;36
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;5;Época baja;Montaño_Red de enmalle fija continental_5;1;32
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;6;Época baja;Montaño_Red de enmalle fija continental_6;1;32
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;7;Época baja;Montaño_Red de enmalle fija continental_7;1;32
Atrato;Río Atrato;Darién;Montaño;Red de enmalle fija continental;8;Época baja;Montaño_Red de enmalle fija continental_8;1;32
