SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_COSTO_TOTAL_Hist;Cuartil_sup_COSTO_TOTAL_Hist;Cuartil_inf_INGRESOS_Hist;Cuartil_sup_INGRESOS_Hist
El Roto_Red de enmalle fija marina;32000;73000;20650;332200
Piedras Blancas_Buceo de langosta;16000;20000;59000;257950
Santuario_Arpón;29000;170000;220275;987250
Piedras Blancas_Buceo marino mixto;16000;24000;72000;288000
Isla Fuerte_Línea de mano fija marina;3800;227800;41200;714000
Isla Fuerte_Línea de mano correteo curricán o trolling;31100;205700;80000;758900
Campo alegre_Red de enmalle fija continental;3000;33800;17060;160880
El Muelle (Puerto López)_Red de enmalle fija continental;160000;290000;207200;622050
La Tagua_Palangre calandrio;11000;19175;15000;424925
Puerto Montecristo_Red de enmalle fija continental; ; ;16325;139150
Macurutú - Saloa_Red de enmalle fija continental;3000;21000;13350;156000
El Muelle (Puerto López)_Chinchorro continental;110000;330000;210000;680000
Codis_Línea de mano fija marina;8050;85000;35000;457000
Codis_Atarraya;11000;23000;75200;231100
Las Balsas_Chinchorro continental;140000;344000;263600;829000
San Luis_Red de enmalle fija continental; ; ;19740;165180
Tribugá_Línea de mano fija marina;5000;64250;8000;180800
Tribugá_Línea de mano correteo curricán o trolling;6850;20250;30500;205850
Berlín_Chinchorro continental;18000;22000;24150;329230
Casco urbano Roma_Red de enmalle fija continental; ; ;6770;85810
Casco urbano Roma_Red de enmalle zangarreo; ; ;16230;187740
La Punta_Palangre o espinel de fondo;49250;88750;55750;177000
Lomita Arena_Red de enmalle fija marina;23800;46200;20000;241700
La Punta_Red de enmalle fija marina;12000;61550;11000;158100
Zapata_Red de enmalle fija marina;12000;161600;35200;944400
Las Delicias_Red de enmalle fija marina;14000;35000;18000;323680
Bazán_Palangre o espinel de fondo;362000;724500;310600;1889100
Playa Totumo_Red de enmalle camaronera;30000;3,00E+05;50000;979000
Berlín_Palangre calandrio;15800;20000;9840;115680
Bazán_Red de cerco artesanal o ruche;495000;748000;1551000;22290000
Las Delicias_Red de enmalle de encierro marina;25000;190000;68280;1762040
Playa Totumo_Red de enmalle fija marina;14450;3,00E+05;39600;1202000
Bazán_Red de enmalle fija marina;90000;137250;70200;920700
Berlín_Red de enmalle de deriva continental;18000;20000;14850;99050
El Valle_Palangre o espinel de fondo;148750;320600;305300;2942850
Marriaga_Red de enmalle fija continental;15000;20000;10000;127750
Uveros_Red de enmalle fija marina;26800;284800;76875;1846800
El Valle_Línea de mano fija marina;125000;311700;94200;2389300
Berlín_Línea de mano fija continental;10000;20000;12900;116500
Rincón del Mar_Red de enmalle de encierro marina;25275;96000;49350;1480800
Rincón del Mar_Buceo marino mixto;3000;75000;18400;398800
Guazo_Red de enmalle fija continental;5000;8000;5000;83155
Tapegua_Red de enmalle fija continental;13600;28600;40000;280000
Tapegua_Atarraya;4200;12600;19600;80600
Champaché_Atarraya;55000;88000;66500;432500
Las Flores_Red de enmalle de deriva marina;184000;222000;156640;1884600
Puerto Chucha_Red de enmalle fija marina;23000;61000;47300;384500
Champaché_Red de enmalle fija marina;30150;131600;31700;333130
Guazo_Chinchorro continental;5700;12900;73435;470900
Nueva Ola_Chinchorro continental;4600;46200;37655;687565
Champaché_Línea de mano fija marina;35000;165200;34900;362000
Puerto Chucha_Red de enmalle de deriva marina;97000;128000;120000;672000
Candelaria (Achí)_Red de enmalle fija continental; ; ;6210;59780
Puerto Chucha_Red de enmalle fija continental;9000;30600;25000;150000
El Porvenir_Línea de mano fija marina;6000;52950;21000;250850
Cecilia_Red de enmalle fija continental;5000;21000;33900;81740
Puerto Antequera_Red de enmalle fija continental ciénaga; ; ;20980;147900
Candelaria (Achí)_Palangre calandrio; ; ;10960;34060
Guazo_Red de enmalle de deriva continental;5000;8000;7000;109150
Nueva Ola_Línea de mano fija continental;5000;18000;8520;94080
Dotenedó_Red de enmalle fija marina;16000;36000;12000;183320
Las Flores_Red de enmalle fija marina;85000;218000;115290;1087065
Guazo_Palangre calandrio;5000;8400;9000;93375
Nueva Ola_Red de enmalle de deriva continental;2000;10000;8250;91320
Cecilia_Atarraya;6000;7000;36500;78750
Puerto Pozuelo - La Rinconada_Red de enmalle fija continental;4000;16970;6000;130000
Las Flores_Línea de mano fija marina;12450;25550;26510;195730
Ciénaga de Mesolandia_Red de enmalle fija continental;6000;15000;13000;143700
Arquimedes_Atarraya;8000;26000;17000;180750
Maracayo_Red de enmalle fija continental;1000;5000;8000;116250
Carrizal_Red de enmalle fija marina;14000;40000;79535;526050
Ciénaga de Mesolandia_Atarraya;4900;11500;10000;48000
Bahía de Cispatá_Palangre o espinel de fondo;7000;19750;15000;107400
Bahía de Cispatá_Red de enmalle de encierro marina;12600;33000;27500;228500
Agropez_Atarraya;55000;60000;148000;704000
Bahía de Cispatá_Línea de mano fija marina;5000;47000;8000;260800
Bahía de Cispatá_Atarraya;5000;14000;8000;105200
Palenquito_Red de enmalle fija continental;10000;14000;31940;5,00E+05
Docordó_Red de enmalle de deriva marina;66000;136000;85850;1011675
Puerto de Gamarra_Chinchorro continental;85000;85000;2294000;2294000
Pueblo Nuevo (Barrancominas)_Red de enmalle fija continental;6000;6000; ; 
Santropel - San Sebastián_Red de enmalle fija continental;9000;27440;20000;257225
La Peinada_Red de enmalle fija continental;5000;11000;11000;108450
Pueblo Nuevo (Barrancominas)_Línea de mano fija continental;6000;6000;14300;19700
La Peinada_Atarraya;5000;11000;12000;81000
Bahía de Cispatá_Red de enmalle fija marina;9000;44000;15700;203000
Santa Clara_Red de enmalle fija continental;2200;3200;23470;96620
Puerto Asure_Red de enmalle fija continental;1600;54000;13600;233900
Bahía de Cispatá_Chinchorro marino;26000;106500;69000;729300
Puerto del Pescado (San José Del Guaviare)_Red de enmalle de deriva continental;7000;10300;43400;528200
Taganga_Línea de mano fija marina;63000;103000;50090;592510
Taganga_Red de enmalle fija marina;26000;141000;31940;516430
Puerto Asure_Palangre calandrio;8250;56000;16030;244975
Puerto Asure_Chinchorra;20400;61600;57520;747100
Damaquiel_Red de enmalle fija marina;46000;301910;92090;1746075
Jodedor_Red de enmalle fija marina;45000;70000;44900;453000
Jodedor_Red de enmalle de deriva marina;69250;150000;51000;928700
Taganga_Chinchorro velao;50000;146000;90000;3098400
Puerto Serviez_Atarraya;20350;85700;33940;645890
Betania (Montecristo)_Red de enmalle fija continental;18000;18000;16220;141020
Puerto La Candelaria_Red de enmalle fija continental;8150;33000;20000;168600
Playa Necoclí_Red de enmalle camaronera;14750;60750;8200;149300
El Puente_Atarraya;2000;10000;40220;141360
Puerto Serviez_Palangre calandrio;25000;106500;56490;734760
Playa Blanca (Ayapel)_Red de enmalle fija continental;2000;16000;17000;80570
Belén (El Banco)_Red de enmalle fija continental ciénaga;33000;126000;63900;220000
Morrosquillo_Línea de mano fija marina;3000;83700;5000;233850
Jodedor_Red de enmalle de encierro marina;90000;110000;157100;4071100
Santropel - San Sebastián_Atarraya;800;6180;12595;102300
Puerto Serviez_Red de enmalle de deriva continental;39250;96250;164000;941750
Morrosquillo_Atarraya;2800;4305;4000;104800
Palomino_Red de enmalle fija continental;7500;14000;21030;112620
El Puente_Red de enmalle de deriva continental;5000;10500;19150;74050
Puerto Serviez_Red de enmalle fija continental;47000;95000;163300;1067050
Morrosquillo_Línea de mano correteo curricán o trolling;11000;23300;9000;161400
Jodedor_Línea de mano fija marina;95000;350000;88000;1602800
Taganga_Buceo de peces;99000;114000;137200;1083040
Belén (El Banco)_Chinchorro continental;38000;136000;45840;293080
Los Tendales_Red de enmalle fija continental;10000;24000;33000;126040
El Puente_Atarraya rastra;5000;7000;21240;66275
Puerto Ciénaga de Paredes_Red de enmalle fija continental;2500;15000;79500;124000
Pueblo Lindo o Caimanera_Red de enmalle fija continental; ; ;14600;95220
Cispataca_Red de enmalle fija continental; ; ;5400;111540
El Puente_Red de encierro rastra;3500;24500;34950;218310
Villa Venecia_Red de enmalle de encierro continental;7335;12130;25000;372950
Villa Venecia_Red de enmalle fija continental;7300;16000;17000;313350
Puerto La Candelaria_Chinchorro continental;9000;40000;10000;383500
El Puente_Red de enmalle fija continental;2000;12400;32400;97050
Puerto Serviez_Chinchorra;50500;112250;147800;575425
La Mata_Chinchorra;32070;47800;44430;320230
Cabo Marzo_Palangre o espinel de fondo;1833200;4020720;2534400;10407920
Guineal_Red de enmalle fija marina;6050;67475;27000;235500
Puerto Simití_Red de enmalle fija continental;5500;16445;59510;134435
Sivirú_Red de enmalle fija marina;7000;63000;21000;523500
La Playa (El Banco)_Red de enmalle de deriva continental;10000;108720;24000;241480
La Mata_Nasas de Peces;91130;162200;111600;355940
Desembarcadero (Murindó)_Red de enmalle fija continental;3000;26200;16550;261900
Rincón_Atarraya;6525;10800;5000;71500
Puerto Simití_Atarraya;2400;4200;27550;73700
Macurutú - Saloa_Atarraya;9000;21000;24000;110080
Nueva Estrella_Red de enmalle fija continental; ; ;14995;135000
Guineal_Palangre o espinel de fondo;10000;91000;25800;330600
Rincón_Red de enmalle fija continental;7100;16510;15450;190550
Chapinero_Atarraya;33000;63000;75000;546250
Las Tenazas_Línea de mano fija marina;12000;28000;15550;212450
La Playa (El Banco)_Chinchorra;16000;97200;66000;230200
Bahía de Santa Marta_Línea de mano fija marina;10000;30000;14000;337200
Rincón_Red de enmalle de encierro continental;8180;11330;6900;281200
Guineal_Red de enmalle de encierro marina;10000;77425;19800;209600
Muelle Las Flores_Red de enmalle de deriva marina;140900;372750;336415;1948635
Puerto Triunfo_Palangre calandrio;19000;36000;25305;251755
Muelle Las Flores_Palangre o espinel de fondo;185000;449500;335775;1125600
La Isla de los Palacios_Red de enmalle fija continental;15000;15000;12030;118955
Bocas del Atrato_Red de enmalle fija marina;11500;15500;50500;254250
Puerto Montecristo_Atarraya;6400;12100;32480;213720
Puerto Triunfo_Atarraya;14800;28200;26350;248925
Barrio Arriba - Barbosa (Magangué)_Red de enmalle de deriva continental;1000;3000;12800;128400
Mercado (Lorica)_Atarraya;8900;26000;13000;120000
Barrio Santa Lucía_Red de enmalle fija marina;32000;89000;27750;588750
Puerto Amor_Red de enmalle fija continental;1500;37000;9000;142000
Barrio Arriba - Barbosa (Magangué)_Red de enmalle fija continental;1000;2000;6000;64000
Puerto Amor_Chinchorra;4000;71200;32100;427250
Arquimedes_Línea de mano fija marina;5000;11000;6000;68000
Plaza de mercado (La Dorada)_Atarraya;35000;51500;37890;225000
Puerto Colorado_Línea de mano fija continental;12000;18000;10500;165230
Plaza de mercado (La Dorada)_Palangre calandrio;10000;35000;30000;190000
San José_Chinchorra;59000;104100;565030;1329090
Puerto Colorado_Chinchorro continental;12000;18000;30400;1102600
La Mata_Red de enmalle fija continental;21000;33200;20000;181900
Pomeño_Red de enmalle de deriva marina;24750;155500;58800;782500
Plaza de mercado (La Dorada)_Chinchorra;45500;130000;91500;767800
