Cuenca/Litoral;Grupo de especie;Formato;Especie;Nombre venacular;Categoría comercial
Caribe;Peces;PezOseo;Ablennes hians;Agujón sable;Grande
Caribe;Peces;PezOseo;Ablennes hians;Agujón sable;Mediano
Caribe;Peces;PezOseo;Ablennes hians;Agujón sable;Pequeño
Caribe;Peces;PezOseo;Ablennes hians;Agujón sable;Revuelto
Caribe;Peces;PezOseo;Acanthocybium solandri;Sierra Wahoo;Grande
Caribe;Peces;PezOseo;Acanthocybium solandri;Sierra Wahoo;Mediano
Caribe;Peces;PezOseo;Acanthocybium solandri;Sierra Wahoo;Revuelto
Caribe;Peces;PezOseo;Acanthurus bahianus;Navajero verde;Mediano
Caribe;Peces;PezOseo;Acanthurus bahianus;Navajero verde;Pequeño
Caribe;Peces;PezOseo;Acanthurus bahianus;Navajero verde;Revuelto
Caribe;Peces;PezOseo;Acanthurus chirurgus;Navajero café;Grande
Caribe;Peces;PezOseo;Acanthurus chirurgus;Navajero café;Mediano
Caribe;Peces;PezOseo;Acanthurus chirurgus;Navajero café;Pequeño
Caribe;Peces;PezOseo;Acanthurus chirurgus;Navajero café;Revuelto
Caribe;Peces;PezOseo;Acanthurus coeruleus;Navajero azul;Pequeño
Caribe;Peces;PezOseo;Acanthurus coeruleus;Navajero azul;Revuelto
Caribe;Peces;PezOseo;Acanthurus spp.;Navajero;Mediano
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Grande
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Mediano
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Pequeño
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Revuelto
Caribe;Peces;PezOseo;Albula vulpes;Pez ratón;Grande
Caribe;Peces;PezOseo;Albula vulpes;Pez ratón;Mediano
Caribe;Peces;PezOseo;Albula vulpes;Pez ratón;Pequeño
Caribe;Peces;PezOseo;Albula vulpes;Pez ratón;Revuelto
Caribe;Peces;PezOseo;Alectis ciliaris;Pez cabuya;Grande
Caribe;Peces;PezOseo;Alectis ciliaris;Pez cabuya;Mediano
Caribe;Peces;PezOseo;Alectis ciliaris;Pez cabuya;Pequeño
Caribe;Peces;PezOseo;Aluterus monoceros;Marfilillo;Revuelto
Caribe;Peces;PezOseo;Anchoa spinifer;Anchoa de fondo;Mediano
Caribe;Peces;PezOseo;Andinoacara latifrons;Mojarra azulera, Cabeza de piedra;Mediano
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Grande
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Mediano
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Pequeño
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Revuelto
Caribe;Peces;PezOseo;Anisotremus virginicus;Catalina, Mono;Grande
Caribe;Peces;PezOseo;Anisotremus virginicus;Catalina, Mono;Mediano
Caribe;Peces;PezOseo;Anisotremus virginicus;Catalina, Mono;Pequeño
Caribe;Peces;PezOseo;Anisotremus virginicus;Catalina, Mono;Revuelto
Caribe;Moluscos;Bivalvo;Anomalocardia brasiliana, Donax spp.;Chipichipi;Mediano
Caribe;Peces;PezOseo;Apsilus dentatus;Pargo mulato;Grande
Caribe;Peces;PezOseo;Apsilus dentatus;Pargo mulato;Mediano
Caribe;Peces;PezOseo;Archosargus probatocephalus;Sargo chopa;Mediano
Caribe;Peces;PezOseo;Archosargus probatocephalus;Sargo chopa;Pequeño
Caribe;Peces;PezOseo;Archosargus probatocephalus;Sargo chopa;Revuelto
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Grande
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Mediano
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Pequeño
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Revuelto
Caribe;Peces;PezOseo;Ariidae;Bagres  Ariidae;Grande
Caribe;Peces;PezOseo;Ariidae;Bagres  Ariidae;Mediano
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Grande
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Mediano
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Pequeño
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Revuelto
Caribe;Peces;PezOseo;Auxis rochei;Cachorreta alacorta;Mediano
Caribe;Peces;PezOseo;Auxis rochei;Cachorreta alacorta;Pequeño
Caribe;Peces;PezOseo;Auxis rochei;Cachorreta alacorta;Revuelto
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Grande
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Mediano
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Pequeño
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Revuelto
Caribe;Peces;PezOseo;Bagre bagre;Bagre blanco;Grande
Caribe;Peces;PezOseo;Bagre bagre;Bagre blanco;Mediano
Caribe;Peces;PezOseo;Bagre bagre;Bagre blanco;Revuelto
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Grande
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Mediano
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Pequeño
