SITIO_DE_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_ALIMENTACIONXCOMIDA_hist;Cuartil_sup_ALIMENTACIONXCOMIDA_hist;Cuartil_inf_COMBUSTIBLE_X_HORA_hist;Cuartil_sup_COMBUSTIBLE_X_HORA_hist;Cuartil_inf_ALQUILER_DE_ARTES_hist;Cuartil_sup_ALQUILER_DE_ARTES_hist;Cuartil_inf_ALQUILER_DE_EMBARCACION_hist;Cuartil_sup_ALQUILER_DE_EMBARCACION_hist;Cuartil_inf_HIELO_X_HORA_hist;Cuartil_sup_HIELO_X_HORA_hist;Cuartil_inf_CARNADA_hist;Cuartil_sup_CARNADA_hist;Cuartil_inf_OTRO_hist;Cuartil_sup_OTRO_hist
Guazo_Red de enmalle fija continental; ; ;279;453; ; ; ; ; ; ; ; ; ; 
Ciénaga de Mesolandia_Red de enmalle fija continental;1557;2687;332;468;7000;7000;7000;7000;93;149; ; ; ; 
Tapegua_Red de enmalle fija continental;2628;3475; ; ; ; ; ; ;300;436; ; ; ; 
Guazo_Red de enmalle de deriva continental; ; ;1412;2999; ; ; ; ; ; ; ; ; ; 
Maracayo_Red de enmalle fija continental;250;544;149;203; ; ; ; ;33;68; ; ; ; 
Guazo_Palangre calandrio; ; ;288;480; ; ; ; ;239;239; ; ; ; 
El Porvenir_Línea de mano fija marina;934;6609;889;3155; ; ; ; ;146;671;5000;30000;5000;10000
Carrizal_Red de enmalle fija marina; ; ;3221;14014; ; ; ; ; ; ; ; ; ; 
Ciénaga de Mesolandia_Atarraya;1861;4000; ; ; ; ; ; ;124;259; ; ; ; 
Guazo_Chinchorro continental; ; ;1159;3039; ; ; ; ; ; ; ; ; ; 
Bahía de Cispatá_Palangre o espinel de fondo;2008;3234;409;1843; ; ; ; ;364;486;3000;4000;2000;4000
Bahía de Cispatá_Red de enmalle de encierro marina;911;3617;817;6111; ; ; ; ;210;456; ; ;4000;6000
Agropez_Atarraya;4762;6250;2439;3636; ; ; ; ;952;1250; ; ; ; 
Bahía de Cispatá_Línea de mano fija marina;1500;3101;521;3204; ; ; ; ;95;400;3000;14000;2000;4000
Bahía de Cispatá_Atarraya;1133;3385;1242;1242; ; ; ; ;155;387; ; ;2000;4000
Palenquito_Red de enmalle fija continental;959;1523; ; ; ; ; ; ;115;253; ; ; ; 
Docordó_Red de enmalle de deriva marina;3201;8042;4792;13847; ; ; ; ;437;893; ; ; ; 
Puerto de Gamarra_Chinchorro continental;1225;1225;2941;2941; ; ; ; ;588;588; ; ; ; 
Pueblo Nuevo (Barrancominas)_Red de enmalle fija continental;1722;6000; ; ; ; ; ; ; ; ; ; ; ; 
Santropel - San Sebastián_Red de enmalle fija continental;1306;2808;245;569; ; ; ; ;111;313; ; ; ; 
La Peinada_Red de enmalle fija continental;1086;1675; ; ; ; ; ; ;87;104; ; ;2000;3000
