SITIO_DE_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_ALIMENTACIONXCOMIDA_mes;Cuartil_sup_ALIMENTACIONXCOMIDA_mes;Cuartil_inf_COMBUSTIBLE_X_HORA_mes;Cuartil_sup_COMBUSTIBLE_X_HORA_mes;Cuartil_inf_ALQUILER_DE_ARTES_mes;Cuartil_sup_ALQUILER_DE_ARTES_mes;Cuartil_inf_ALQUILER_DE_EMBARCACION_mes;Cuartil_sup_ALQUILER_DE_EMBARCACION_mes;Cuartil_inf_HIELO_X_HORA_mes;Cuartil_sup_HIELO_X_HORA_mes;Cuartil_inf_CARNADA_mes;Cuartil_sup_CARNADA_mes;Cuartil_inf_OTRO_mes;Cuartil_sup_OTRO_mes;Cuartil_inf_NUMERO_PESCADORES_mes;Cuartil_sup_NUMERO_PESCADORES_mes
Puerto Simití_Red de enmalle fija continental;827;1588;809;1234; ; ; ; ;221;322; ; ; ; ;2;2
Puerto Simití_Atarraya;1250;1900; ; ; ; ; ; ; ; ; ; ; ; ;2;2
Taganga_Red de enmalle fija marina;3191;4226;1363;7576; ; ; ; ;248;431; ; ;6000;6000;4;5
Carrizal_Red de enmalle fija marina; ; ;3170;9592; ; ; ; ; ; ; ; ; ; ;2;5
Distribuidoras de Tumaco_Red de enmalle de deriva marina;1514;3442;3358;7946; ; ; ; ;389;1001; ; ; ; ;2;2
Villa Venecia_Red de enmalle fija continental;932;1601;258;363; ; ; ; ;101;135; ; ;1500;1580;1;2
Orejero_Red de enmalle fija continental; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2
Villa Venecia_Atarraya;2420;4767; ; ; ; ; ; ;383;552; ; ;1600;1600;1;2
Rincón_Red de enmalle fija continental;935;1986;257;374; ; ; ; ;73;143; ; ;1340;1860;1;2
Rincón_Atarraya;3396;6000; ; ; ; ; ; ;319;533; ; ;1200;1200;1;2
Clarinetero_Atarraya;8500;8500; ; ; ; ; ; ;2166;3966; ; ;12000;12000;2;2
Puerto del Pescado (San José Del Guaviare)_Red de enmalle de deriva continental; ; ;11940;17900; ; ; ; ; ; ; ; ;5000;5000;2;2
Clarinetero_Red de enmalle fija continental;5944;11681; ; ; ; ; ; ;1750;1750; ; ; ; ;1;2
El Puente_Atarraya; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2
El Puente_Red de enmalle de deriva continental; ; ;1945;2347; ; ; ; ; ; ; ; ; ; ;1;1
El Puente_Atarraya rastra; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1
Barrio Arriba - Barbosa (Magangué)_Red de enmalle fija continental; ; ; ; ; ; ; ; ; ; ; ; ;1000;1000;1;2
El Puente_Red de encierro rastra; ; ;2640;3286; ; ; ; ;319;464; ; ; ; ;1;3
Puerto Miraflores_Línea de mano fija marina;2531;6158;4733;10708; ; ; ; ;902;2404; ; ; ; ;2;2
El Puente_Red de enmalle fija continental; ; ;558;700; ; ; ; ;113;137; ; ; ; ;1;1
Puerto Abajo (Dibulla)_Red de enmalle fija marina;1064;1760;3311;5583; ; ; ; ;272;343; ; ; ; ;2;3
Santropel - San Sebastián_Red de enmalle fija continental;1343;4420;365;1271; ; ; ; ;106;347; ; ; ; ;1;2
Santropel - San Sebastián_Atarraya;718;1597; ; ; ; ; ; ;108;201; ; ; ; ;1;2
La Rampa (Barrancabermeja)_Atarraya;1506;3792;4878;9121; ; ; ; ;3804;7630; ; ; ; ;2;3
Belén (El Banco)_Red de enmalle fija continental ciénaga;2000;2500;2000;2500;16500;46975;16500;46975;500;625; ; ; ; ;2;2
Belén (El Banco)_Chinchorro continental;1111;1404;1667;2105;4500;36650;4500;36650;417;526; ; ; ; ;3;3
Puerto La Candelaria_Red de enmalle fija continental;1220;2433;471;1000; ; ; ; ;139;287; ; ;2000;3000;1;2
El Ferry_Red de enmalle fija continental ciénaga;990;1701;292;1429; ; ; ; ;111;184; ; ;2000;3000;1;2
Plaza de mercado (La Dorada)_Palangre calandrio;4167;4545;833;909; ; ; ; ; ; ;5000;5000; ; ;1;1
Purricha_Palangre o espinel de fondo;785;2973;1556;4851; ; ; ; ; ; ; ; ; ; ;1;2
Puerto de Gamarra_Chinchorra;913;1301;2057;2413; ; ; ; ;422;866; ; ;2000;2000;4;5
Lamas_Atarraya;1088;3273;735;735; ; ; ; ;124;337; ; ; ; ;1;2
El Ferry_Red de enmalle de deriva continental;2000;3500;951;4092; ; ; ; ;116;300; ; ;2000;2000;1;2
Palenquito_Red de enmalle fija continental;889;1471; ; ; ; ; ; ;158;256; ; ; ; ;2;2
Lamas_Red de enmalle de encierro continental;2148;3305; ; ;5000;5000;5000;5000;214;406; ; ; ; ;1;2
El Muelle (Barrancabermeja)_Atarraya;3539;5893;3903;9789; ; ; ; ;470;1433; ; ; ; ;2;3
Purricha_Red de enmalle de deriva marina;1909;4275;3864;10198; ; ; ; ; ; ; ; ; ; ;2;2
Palomino_Red de enmalle fija continental;1033;1651; ; ; ; ; ; ;176;276; ; ; ; ;1;2
