Cuenca/Litoral;Grupo de especie;Formato;Especie;Nombre venacular;Forma de presentación
Caribe;Peces;PezOseo;Ablennes hians;Agujón sable;Entero enhielado
Caribe;Peces;PezOseo;Ablennes hians;Agujón sable;Entero fresco
Caribe;Peces;PezOseo;Ablennes hians;Agujón sable;Eviscerado fresco
Caribe;Peces;PezOseo;Acanthocybium solandri;Sierra Wahoo;Entero enhielado
Caribe;Peces;PezOseo;Acanthocybium solandri;Sierra Wahoo;Entero fresco
Caribe;Peces;PezOseo;Acanthocybium solandri;Sierra Wahoo;Eviscerado enhielado
Caribe;Peces;PezOseo;Acanthocybium solandri;Sierra Wahoo;Eviscerado fresco
Caribe;Peces;PezOseo;Acanthurus bahianus;Navajero verde;Entero enhielado
Caribe;Peces;PezOseo;Acanthurus bahianus;Navajero verde;Entero fresco
Caribe;Peces;PezOseo;Acanthurus bahianus;Navajero verde;Eviscerado fresco
Caribe;Peces;PezOseo;Acanthurus chirurgus;Navajero café;Entero fresco
Caribe;Peces;PezOseo;Acanthurus coeruleus;Navajero azul;Entero fresco
Caribe;Peces;PezOseo;Acanthurus spp.;Navajero;Entero enhielado
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Entero enhielado
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Entero fresco
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Eviscerado enhielado
Caribe;Peces;PezOseo;Ageneiosus pardalis;Doncella;Eviscerado fresco
Caribe;Peces;PezOseo;Albula vulpes;Pez ratón;Entero enhielado
Caribe;Peces;PezOseo;Albula vulpes;Pez ratón;Entero fresco
Caribe;Peces;PezOseo;Albula vulpes;Pez ratón;Eviscerado fresco
Caribe;Peces;PezOseo;Alectis ciliaris;Pez cabuya;Entero enhielado
Caribe;Peces;PezOseo;Alectis ciliaris;Pez cabuya;Entero fresco
Caribe;Peces;PezOseo;Alectis ciliaris;Pez cabuya;Eviscerado enhielado
Caribe;Peces;PezOseo;Alectis ciliaris;Pez cabuya;Eviscerado fresco
Caribe;Peces;PezOseo;Aluterus monoceros;Marfilillo;Entero fresco
Caribe;Peces;PezOseo;Anchoa spinifer;Anchoa de fondo;Eviscerado fresco
Caribe;Peces;PezOseo;Andinoacara latifrons;Mojarra azulera, Cabeza de piedra;Entero enhielado
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Entero enhielado
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Entero fresco
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Eviscerado enhielado
Caribe;Peces;PezOseo;Anisotremus surinamensis;Pez burro, Cabo martín, Mojarra de piedra;Eviscerado fresco
Caribe;Peces;PezOseo;Anisotremus virginicus;Catalina, Mono;Entero enhielado
Caribe;Peces;PezOseo;Anisotremus virginicus;Catalina, Mono;Entero fresco
Caribe;Peces;PezOseo;Anisotremus virginicus;Catalina, Mono;Eviscerado fresco
Caribe;Moluscos;Bivalvo;Anomalocardia brasiliana, Donax spp.;Chipichipi;Entero enhielado
Caribe;Peces;PezOseo;Apsilus dentatus;Pargo mulato;Eviscerado
Caribe;Peces;PezOseo;Apsilus dentatus;Pargo mulato;Eviscerado enhielado
Caribe;Peces;PezOseo;Archosargus probatocephalus;Sargo chopa;Entero fresco
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Entero enhielado
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Entero fresco
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Eviscerado enhielado
Caribe;Peces;PezOseo;Archosargus rhomboidalis;Sargo amarillo, Mojarra amarilla;Eviscerado fresco
Caribe;Peces;PezOseo;Ariidae;Bagres  Ariidae;Entero fresco
Caribe;Peces;PezOseo;Ariidae;Bagres  Ariidae;Eviscerado fresco
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Entero
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Entero enhielado
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Entero fresco
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Eviscerado
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Eviscerado con gónada
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Eviscerado enhielado
Caribe;Peces;PezOseo;Ariopsis canteri;Chivo cabezón;Eviscerado fresco
Caribe;Peces;PezOseo;Auxis rochei;Cachorreta alacorta;Entero fresco
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Entero enhielado
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Entero fresco
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Eviscerado enhielado
Caribe;Peces;PezOseo;Auxis thazard;Cachorreta;Eviscerado fresco
Caribe;Peces;PezOseo;Bagre bagre;Bagre blanco;Entero enhielado
Caribe;Peces;PezOseo;Bagre bagre;Bagre blanco;Entero fresco
Caribe;Peces;PezOseo;Bagre bagre;Bagre blanco;Eviscerado enhielado
Caribe;Peces;PezOseo;Bagre bagre;Bagre blanco;Eviscerado fresco
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Entero
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Entero enhielado
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Entero fresco
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Eviscerado
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Eviscerado con gónada
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Eviscerado enhielado
Caribe;Peces;PezOseo;Bagre filamentosus;Bagre bandera;Eviscerado fresco
Caribe;Peces;PezOseo;Bairdiella ronchus;Corvina blanca;Entero enhielado
Caribe;Peces;PezOseo;Bairdiella ronchus;Corvina blanca;Entero fresco
Caribe;Peces;PezOseo;Bairdiella ronchus;Corvina blanca;Eviscerado
Caribe;Peces;PezOseo;Bairdiella ronchus;Corvina blanca;Eviscerado con gónada
Caribe;Peces;PezOseo;Bairdiella ronchus;Corvina blanca;Eviscerado enhielado
Caribe;Peces;PezOseo;Bairdiella ronchus;Corvina blanca;Eviscerado fresco
Caribe;Peces;PezOseo;Balistes capriscus;Cachua gris, Pejepuerco gris;Entero enhielado
Caribe;Peces;PezOseo;Balistes capriscus;Cachua gris, Pejepuerco gris;Entero fresco
Caribe;Peces;PezOseo;Balistes capriscus;Cachua gris, Pejepuerco gris;Eviscerado enhielado
