SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_NUMERO_PESCADORES_hist;Cuartil_sup_NUMERO_PESCADORES_hist
Tasajera La Playa_Red de enmalle fija marina;3;4
Morrosquillo_Línea de mano;1;2
Tasajera La Playa_Palangre o espinel de fondo;2;4
Morrosquillo_Atarraya;1;1
Casino_Línea de mano;1;3
Casino_Palangre o espinel de fondo;1;3
Casino_Red de enmalle fija marina;3;3
La Charca de Guarinocito_Atarraya;2;2
El Puente_Atarraya;2;2
El Puente_Red de encierro chuchaca;3;4
El Puente_Red de enmalle de deriva continental;1;1
Bocanegra_Red de enmalle fija marina;1;3
Bocanegra_Chinchorro marino;4;11
Puerto Chucha_Red de enmalle fija marina;1;2
Puerto Chucha_Red de enmalle fija continental;1;2
Puerto Chucha_Red de enmalle de deriva marina;2;2
Puerto Colorado_Palangre calandrio;1;2
Puerto Colorado_Red de enmalle de deriva continental;2;2
Caño Grande_Red de enmalle fija continental;1;1
Puerto Colorado_Atarraya;1;2
Caño Grande_Atarraya;1;2
Puerto Colorado_Red de enmalle fija continental;1;2
San Nicolás (Nechí)_Red de enmalle de deriva continental;1;2
Belén (San Marcos)_Red de enmalle fija continental;1;1
Belén (San Marcos)_Atarraya;2;2
San Nicolás (Nechí)_Palangre calandrio;1;2
Belén (San Marcos)_Red de enmalle de deriva continental;1;1
San Nicolás (Nechí)_Red de enmalle fija continental;1;2
San Nicolás (Nechí)_Atarraya;1;2
Belén (San Marcos)_Red de encierro chuchaca;3;4
Belén (San Marcos)_Nasas de Peces;1;1
Palo Alto_Red de enmalle fija continental;1;2
Palo Alto_Red de enmalle de deriva continental;1;1
Puerto Chaparro_Red de enmalle de deriva continental;1;3
Palo Alto_Red de encierro chuchaca;3;4
Santropel - San Sebastián_Red de enmalle fija continental;1;2
Santropel - San Sebastián_Atarraya;1;2
Puerto Chaparro_Red de enmalle fija continental;1;2
Puerto Caracolí_Cóngolo;1;2
Puerto Caracolí_Nasas de Peces;1;2
Puerto Caracolí_Atarraya;1;2
Loma - San Sebastián_Red de enmalle fija continental;1;2
Puerto Caracolí_Línea de mano;1;2
Puerto Chaparro_Palangre calandrio;1;2
Buenavista (La Dorada)_Red de enmalle de deriva continental;2;3
Buenavista (La Dorada)_Atarraya;2;2
Buenavista (La Dorada)_Red de enmalle fija continental;2;3
Puerto Chaparro_Atarraya;1;2
Palenquito_Red de enmalle fija continental;1;2
Puerto López_Red de enmalle fija continental;1;2
Cerro del Rosario_Red de enmalle fija continental;1;2
Rincón_Red de enmalle fija continental;1;2
Rincón_Red de enmalle de encierro continental;2;2
Robles_Red de enmalle fija continental;1;1
Mamón_Red de enmalle fija continental;1;1
Rincón_Atarraya;1;2
Marralú_Red de enmalle fija continental;1;2
Marralú_Red de enmalle de deriva continental;2;3
Marralú_Atarraya;2;2
Palotal_Red de enmalle fija continental;2;2
Palotal_Atarraya;2;2
El Puente_Red de encierro rastra;1;3
Bahía de Cispatá_Red de enmalle de encierro marina;2;3
Bahía de Cispatá_Chinchorro marino;10;10
Bahía de Cispatá_Palangre o espinel de fondo;1;2
Bahía de Cispatá_Red de enmalle fija marina;1;3
Bahía de Cispatá_Atarraya;1;2
Bahía de Cispatá_Línea de mano;1;2
Santiago Apóstol_Red de enmalle fija continental;1;2
Robles_Red de enmalle de encierro continental;1;2
Barrio Abajo (Ciénaga)_Red de arrastre artesanal o changa;2;2
Barrio Abajo (Ciénaga)_Red de enmalle fija marina;2;4
Santiago Apóstol_Atarraya;1;2
Puente Chambacú - Río Jella_Línea de mano;2;3
Playa Necoclí_Red de enmalle fija marina;2;3
Muelle Pescadores (Puerto Boyacá)_Atarraya;1;3
Muelle Pescadores (Puerto Boyacá)_Palangre calandrio;1;3
Puerto Miraflores_Línea de mano;1;3
Puerto Miraflores_Red de enmalle fija marina;2;3
Puerto Miraflores_Palangre o espinel de fondo;2;4
Muelle Pescadores (Puerto Boyacá)_Chinchorro continental;2;3
Caño Lobo_Red de enmalle fija marina;1;1
Gaira_Red de enmalle de encierro marina;2;3
Gaira_Chinchorro de jala playa;4;9
Caño Lobo_Recolección manual de ostra;1;1
Ica-Copipa_Línea de mano correteo curricán o trolling;1;2
Puerto de los Jhonsons (Puerto Boyacá)_Palangre calandrio;1;3
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya;1;2
Caño Lobo_Buceo de caracol;1;1
Ica-Copipa_Red de enmalle fija marina;1;3
Caño Lobo_Atarraya;1;2
Puerto Asure_Línea de mano;1;2
Puerto Asure_Red de enmalle fija continental;1;2
Puerto Serviez_Red de enmalle de deriva continental;2;3
Gaira_Línea de mano;1;2
Puerto Serviez_Atarraya;2;2
Gaira_Línea de mano correteo curricán o trolling;1;1
La Playa (El Banco)_Red de enmalle de deriva continental;1;2
