SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Puerto Ciénaga de Paredes_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;15;50;0,2;0,21
Usaragá_Línea de mano - Línea de mano fija marina_Notarius troschelii;1;45;0,23;2
Barrio Chino_Chinchorro continental - Chinchorro continental_Sorubim cuspicaudus;1;12;0,43;1,97
Barrio Chino_Chinchorro continental - Chinchorro continental_Prochilodus magdalenae;2;217;0,28;0,77
Barrio Chino_Chinchorro continental - Chinchorro continental_Ichthyoelephas longirostris;2;4;0,64;1,11
Barrio Chino_Red de enmalle - Red de enmalle de deriva continental_Ichthyoelephas longirostris;1;2;0,48;1,28
Barrio Chino_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;2;192;0,29;0,65
Barrio Chino_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1;5;0,45;7,26
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Cynoscion albus;1;2;1,2;6,7
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Bagre pinnimaculatus;1;7;1;4
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Menticirrhus panamensis;1;3;0,5;1
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus quinquefasciatus;1;6;2,5;24,95
Playa de Arusí_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;1;2;2,95;17,5
Bocanegra_Red de enmalle - Red de enmalle de encierro marina_Mugil incilis;3;82;0,1;0,25
Bocanegra_Red de enmalle - Red de enmalle de encierro marina_Ariopsis canteri;1;10;0,16;0,5
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;1;13;1;4,5
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Notarius troschelii;2;49;0,33;1,5
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Oligoplites altus;1;8;0,5;2
La Mata_Red de enmalle - Red de enmalle fija continental ciénaga_Prochilodus magdalenae;5;140;0,14;0,32
La Mata_Red de enmalle - Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;3;22;0,14;0,25
La Mata_Red de enmalle - Red de enmalle fija continental ciénaga_Plagioscion magdalenae;3;13;0,16;0,38
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Sphyrna lewini;1;1;35,25;39,75
Bocanegra_Red de enmalle - Red de enmalle de encierro marina_Mugil liza;1;6;0,46;1,09
Bocanegra_Red de enmalle - Red de enmalle de encierro marina_Centropomus undecimalis;1;21;0,12;1,5
Bocanegra_Red de enmalle - Red de enmalle de encierro marina_Caranx hippos;1;28;0,05;0,13
Lamas_Atarraya - Atarraya_Cyphocharax magdalenae;43;1136;0,04;0,05
Punta Bonita_Chinchorro marino - Chinchorro marino_Cetengraulis mysticetus; ; ; ; 
Punta Bonita_Chinchorro marino - Chinchorro marino_Otros menudo; ; ; ; 
Punta Bonita_Chinchorro marino - Chinchorro marino_Larimus spp.; ; ; ; 
Barrio Chino_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;3;84;0,26;0,61
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Caranx caninus;1;5;1,25;6,05
Plaza de mercado (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1;12;1,92;7,91
