SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Panulirus argus;1;7
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;1;11
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1,5;13
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Sciades proops;2,5;18,2
Morrosquillo_Línea de mano - Línea de mano_Lutjanus synagris;0,11;2,56
Morrosquillo_Línea de mano - Línea de mano_Sphyraena guachancho;0,11;7,5
Morrosquillo_Línea de mano - Línea de mano_Bairdiella ronchus;0,1;1,13
Morrosquillo_Línea de mano - Línea de mano_Centropomus ensiferus;0,11;2,35
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;1,5;5,6
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;3;26
Morrosquillo_Línea de mano - Línea de mano_Balistes vetula;0,2;0,2
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Sciades proops;3;53,27
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Conodon nobilis;1;17
Morrosquillo_Línea de mano - Línea de mano_Caranx crysos;0,11;7,5
Morrosquillo_Línea de mano - Línea de mano_Conodon nobilis;0,06;0,36
Morrosquillo_Línea de mano - Línea de mano_Cathorops mapale;0,11;1,45
Morrosquillo_Atarraya - Atarraya_Oligoplites saliens;0,11;2
Morrosquillo_Atarraya - Atarraya_Scomberomorus cavalla;0,2;3,1
Morrosquillo_Atarraya - Atarraya_Sphyraena guachancho;0,19;5
Morrosquillo_Atarraya - Atarraya_Caranx hippos;0,11;3,95
Morrosquillo_Atarraya - Atarraya_Centropomus ensiferus;0,11;1,2
Morrosquillo_Atarraya - Atarraya_Caranx crysos;0,17;5,18
Casino_Línea de mano - Línea de mano_Lutjanus synagris;0,3;10
Casino_Línea de mano - Línea de mano_Caranx crysos;0,66;84,2
Casino_Línea de mano - Línea de mano_Caranx hippos;1;40
Casino_Línea de mano - Línea de mano_Haemulopsis corvinaeformis;0,04;0,56
Casino_Palangre o Espinel - Palangre o espinel de fondo_Bagre filamentosus;0,74;33,65
Casino_Palangre o Espinel - Palangre o espinel de fondo_Hypanus americanus;2,52;45,25
Casino_Palangre o Espinel - Palangre o espinel de fondo_Caranx hippos;2,88;11,76
Casino_Palangre o Espinel - Palangre o espinel de fondo_Rachycentron canadum;1,54;12,5
Casino_Palangre o Espinel - Palangre o espinel de fondo_Sciades proops;1,5;10
Casino_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;1;39,67
Casino_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;1;27,12
Casino_Línea de mano - Línea de mano_Bagre filamentosus;0,6;10
Casino_Línea de mano - Línea de mano_Cathorops mapale;0,34;2,05
Morrosquillo_Línea de mano - Línea de mano_Caranx hippos;0,11;5,26
Morrosquillo_Línea de mano - Línea de mano_Haemulopsis corvinaeformis;0,05;0,77
Morrosquillo_Línea de mano - Línea de mano_Menticirrhus americanus;0,11;0,75
Morrosquillo_Línea de mano - Línea de mano_Scomberomorus cavalla;0,26;6
Morrosquillo_Línea de mano - Línea de mano_Oligoplites saliens;0,1;1,25
Casino_Red de enmalle - Red de enmalle fija marina_Caranx crysos;1;30,25
Casino_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;1,3;10,3
