SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Berlín_Prochilodus magdalenae_Mediano;2461;9130
Berlín_Pseudoplatystoma magdaleniatum_Mediano;3000;8000
Casco urbano Roma_Cyphocharax magdalenae_Revuelto;1952;2498
Casco urbano Roma_Hoplias malabaricus_Revuelto;2416;4560
Casco urbano Roma_Megaleporinus muyscorum_Revuelto;2510;4806
Casco urbano Roma_Oreochromis niloticus_Pequeño;3000;6007
Tribugá_Scomberomorus sierra_Mediano;14000;14000
Tribugá_Sphyraena ensis_Pequeño;14000;14000
Berlín_Prochilodus magdalenae_Grande;3325;7972
Berlín_Prochilodus magdalenae_Pequeño;1737;9217
Casco urbano Roma_Oreochromis niloticus_Grande;6000;10000
La Punta_Sciades proops_Grande;8583;11735
Lomita Arena_Conodon nobilis_Revuelto;4001;6997
Lomita Arena_Macrodon ancylodon_Revuelto;7969;9951
Tribugá_Lutjanus argentiventris_Pequeño;16000;16000
Tribugá_Trachinotus stilbe_Pequeño;14000;14000
La Punta_Cathorops mapale_Pequeño;1974;2509
La Punta_Cynoscion jamaicensis_Mediano;7497;8987
La Punta_Opisthonema oglinum_Pequeño;1553;2569
Campo alegre_Prochilodus magdalenae_Pequeño;5891;6047
Campo alegre_Hoplias malabaricus_Revuelto;1205;2000
Campo alegre_Caquetaia kraussii_Revuelto;893;1388
Zapata_Centropomus undecimalis_Mediano;29587;30000
Zapata_Sciades proops_Mediano;10000;15000
Casco urbano Roma_Triportheus magdalenae_Revuelto;2123;2654
La Punta_Lutjanus synagris_Pequeño;6667;9367
Las Delicias_Caranx crysos_Mediano;7000;8000
Las Delicias_Lutjanus synagris_Grande;16000;18000
Las Delicias_Conodon nobilis_Mediano;5000;7000
Las Delicias_Selar crumenophthalmus_Grande;4000;6000
Las Delicias_Haemulon plumieri_Revuelto;4000;6000
Bazán_Brotula clarkae_Grande;20000;20000
Bazán_Brotula clarkae_Pequeño;5000;7000
Bazán_Hyporthodus acanthistius_Grande;12000;13000
Bazán_Bagre pinnimaculatus_Grande;7000;8000
Playa Totumo_Penaeus schmitti_Mediano;40000;60000
Las Delicias_Haemulon plumieri_Mediano;4000;7000
Las Delicias_Lutjanus synagris_Pequeño;6000;8000
Berlín_Pseudoplatystoma magdaleniatum_Grande;5000;10000
Bazán_Thunnus alalunga_Grande;5000;5000
La Punta_Ariopsis canteri_Mediano;4762;6061
La Punta_Lobotes surinamensis_Mediano;7757;9200
Macurutú - Saloa_Plagioscion magdalenae_Pequeño;1200;2000
Macurutú - Saloa_Plagioscion magdalenae_Grande;4000;6400
Playa Totumo_Lutjanus purpureus_Grande;20000;24000
Playa Totumo_Lobotes surinamensis_Grande;12000;12550
Bazán_Scomberomorus sierra_Grande;8000;11000
Bazán_Cynoscion phoxocephalus_Grande;15000;15000
Berlín_Ageneiosus pardalis_Grande;5993;10000
Berlín_Megaleporinus muyscorum_Revuelto;1191;3626
Campo alegre_Oreochromis niloticus_Pequeño;3990;4010
Campo alegre_Plagioscion magdalenae_Grande;4956;5000
Macurutú - Saloa_Plagioscion magdalenae_Mediano;2800;3200
El Valle_Brotula clarkae_Varios tamaños;17000;18000
Marriaga_Prochilodus magdalenae_Revuelto;7738;9666
Uveros_Scomberomorus brasiliensis_Pequeño;20000;24000
Uveros_Cynoscion virescens_Pequeño;17000;22000
Uveros_Bagre filamentosus_Pequeño;6000;14000
El Roto_Centropomus undecimalis_Pequeño;11339;18933
El Roto_Caranx hippos_Mediano;9398;9398
El Roto_Lobotes surinamensis_Pequeño;3671;4903
El Valle_Lutjanus guttatus_Varios tamaños;14000;20000
El Valle_Thunnus albacares_Varios tamaños;6000;14000
El Roto_Centropomus undecimalis_Mediano;13955;19286
El Roto_Sciades proops_Mediano;3910;4981
Berlín_Sorubim cuspicaudus_Grande;5000;10000
El Roto_Centropomus undecimalis_Grande;16756;19846
El Roto_Sciades proops_Grande;4426;4989
Rincón del Mar_Panulirus argus_Pequeño;13117;17005
El Valle_Seriola rivoliana_Varios tamaños;9600;16400
Rincón del Mar_Lutjanus analis_Pequeño;15835;20299
El Roto_Ariopsis canteri_Mediano;3037;4560
Rincón del Mar_Panulirus guttatus_Pequeño;12669;16932
Rincón del Mar_Lutjanus apodus_Pequeño;16241;20172
Guazo_Oreochromis niloticus_Revuelto;4994;6985
Guazo_Pseudoplatystoma magdaleniatum_Revuelto;6000;12000
Guazo_Prochilodus magdalenae_Grande;10952;14000
Tapegua_Triportheus magdalenae_Revuelto;1204;2095
Guazo_Ageneiosus pardalis_Revuelto;7995;10000
Guazo_Sorubim cuspicaudus_Revuelto;5000;8000
Tapegua_Oreochromis niloticus_Revuelto;6008;8000
Tapegua_Plagioscion magdalenae_Revuelto;3000;5957
Tapegua_Sorubim cuspicaudus_Revuelto;3994;6990
Guazo_Ageneiosus pardalis_Mediano;7997;10000
Guazo_Sorubim cuspicaudus_Mediano;5000;8000
Champaché_Centropomus undecimalis_Grande;9806;15000
Champaché_Mugil liza_Grande;5000;7234
Guazo_Pseudoplatystoma magdaleniatum_Pequeño;5814;11993
Guazo_Prochilodus magdalenae_Mediano;7500;9804
Tapegua_Prochilodus magdalenae_Revuelto;9714;10184
Las Flores_Centropomus undecimalis_Grande;13999;15000
Las Flores_Lobotes surinamensis_Grande;6970;8000
Las Flores_Sciades proops_Grande;6975;9000
Las Flores_Caranx hippos_Grande;6989;7000
Puerto Chucha_Centropomus undecimalis_Grande;19943;23605
Puerto Chucha_Sciades proops_Grande;9744;10840
Puerto Chucha_Lobotes surinamensis_Grande;9648;10848
Las Flores_Elops smithi_Grande;5000;5000
Champaché_Lutjanus purpureus_Mediano;7385;11500
Puerto Chucha_Cathorops mapale_Revuelto;4020;4586
Guazo_Hoplias malabaricus_Revuelto;1855;4369
Nueva Ola_Megaleporinus muyscorum_Revuelto;1276;3030
Nueva Ola_Sorubim cuspicaudus_Pequeño;1957;6053
Nueva Ola_Pimelodus grosskopfii_Revuelto;2073;4049
Nueva Ola_Triportheus magdalenae_Revuelto;1832;2443
Nueva Ola_Curimata mivartii_Revuelto;1335;2044
Nueva Ola_Pseudoplatystoma magdaleniatum_Grande;3997;8007
Nueva Ola_Prochilodus magdalenae_Pequeño;4032;7444
Guazo_Sorubim cuspicaudus_Pequeño;4967;8000
Guazo_Prochilodus magdalenae_Pequeño;5088;6741
Champaché_Selene setapinnis_Mediano;6496;7048
Champaché_Caranx crysos_Grande;8784;9045
Champaché_Sphyraena guachancho_Mediano;6421;7054
Puerto Chucha_Euthynnus alletteratus_Revuelto;9806;12379
Puerto Chucha_Scomberomorus brasiliensis_Revuelto;14917;16196
Candelaria (Achí)_Prochilodus magdalenae_Mediano;8571;9943
Nueva Ola_Pseudoplatystoma magdaleniatum_Pequeño;1954;6010
Nueva Ola_Sorubim cuspicaudus_Grande;3989;8021
Nueva Ola_Prochilodus magdalenae_Grande;4056;5892
Nueva Ola_Cynopotamus magdalenae_Revuelto;1714;2174
Playa Totumo_Sciades proops_Grande;10600;13700
Puerto Chucha_Cyphocharax magdalenae_Revuelto;4467;4838
El Porvenir_Caranx hippos_Pequeño;6984;16792
Cecilia_Prochilodus magdalenae_Mediano;6343;8248
Cecilia_Plagioscion magdalenae_Grande;5976;6071
Cecilia_Megaleporinus muyscorum_Revuelto;2083;3954
Candelaria (Achí)_Pseudoplatystoma magdaleniatum_Grande;11886;12058
Guazo_Cynopotamus magdalenae_Revuelto;457;1195
Puerto Antequera_Prochilodus magdalenae_Revuelto;6000;10000
El Porvenir_Sphyraena guachancho_Pequeño;4075;15784
El Porvenir_Coryphaena hippurus_Grande;9211;9211
El Porvenir_Rachycentron canadum_Pequeño;10000;10000
El Porvenir_Rachycentron canadum_Grande;13124;17740
Cecilia_Cynopotamus magdalenae_Revuelto;455;714
Puerto Pozuelo - La Rinconada_Prochilodus magdalenae_Pequeño;6933;7500
Cecilia_Prochilodus magdalenae_Pequeño;4830;6799
Nueva Ola_Ageneiosus pardalis_Pequeño;1987;6047
Puerto Antequera_Prochilodus magdalenae_Grande;8000;10400
Puerto Antequera_Plagioscion magdalenae_Grande;4000;8000
Puerto Pozuelo - La Rinconada_Hoplias malabaricus_Revuelto;4000;4500
Guazo_Plagioscion magdalenae_Grande;4756;6108
El Porvenir_Lutjanus synagris_Mediano;13180;20024
Rincón del Mar_Seriola dumerili_Varios tamaños;14976;17616
Las Flores_Bagre filamentosus_Grande;5981;7000
Cecilia_Hoplias malabaricus_Revuelto;1487;2904
Ciénaga de Mesolandia_Prochilodus magdalenae_Mediano;7400;10990
Arquimedes_Mugil incilis_Pequeño;2073;2574
Arquimedes_Mugil incilis_Mediano;4921;5000
El Porvenir_Lutjanus synagris_Pequeño;9018;16997
Maracayo_Cyphocharax magdalenae_Mediano;2500;4000
Ciénaga de Mesolandia_Caquetaia kraussii_Pequeño;2126;3535
Ciénaga de Mesolandia_Trichopodus pectoralis_Grande;1694;2646
Ciénaga de Mesolandia_Hoplias malabaricus_Mediano;6009;10650
Ciénaga de Mesolandia_Mugil incilis_Pequeño;6782;12311
Ciénaga de Mesolandia_Hoplias malabaricus_Pequeño;6140;11445
Maracayo_Caquetaia kraussii_Mediano;5023;6716
Ciénaga de Mesolandia_Prochilodus magdalenae_Pequeño;7895;11538
Maracayo_Sorubim cuspicaudus_Mediano;9688;14651
Carrizal_Trachinotus falcatus_Mediano;7000;7000
Carrizal_Panulirus argus_Grande;30000;30000
Carrizal_Mycteroperca bonaci_Mediano;7000;7000
Carrizal_Caranx crysos_Revuelto;7000;7000
Carrizal_Scomberomorus brasiliensis_Revuelto;9000;10000
Carrizal_Haemulon plumieri_Mediano;4000;4000
Ciénaga de Mesolandia_Triportheus magdalenae_Grande;1860;3494
Ciénaga de Mesolandia_Cyphocharax magdalenae_Grande;2194;4167
Ciénaga de Mesolandia_Pimelodus yuma_Mediano;6522;10256
Carrizal_Lutjanus synagris_Revuelto;12000;12000
Carrizal_Mycteroperca bonaci_Revuelto;7000;7000
El Porvenir_Scomberomorus cavalla_Grande;16888;20722
Maracayo_Prochilodus magdalenae_Mediano;9524;11250
Bahía de Cispatá_Mugil incilis_Revuelto;6042;8000
Agropez_Mugil incilis_Revuelto;7979;8000
Agropez_Sphyraena guachancho_Grande;12700;15414
Agropez_Eugerres plumieri_Pequeño;4000;5750
Agropez_Centropomus ensiferus_Mediano;12000;18000
Agropez_Diplodus caudimacula_Mediano;12000;12000
Bahía de Cispatá_Ariopsis canteri_Mediano;5899;10504
Bahía de Cispatá_Penaeus schmitti_Mediano;13116;24000
Palenquito_Oreochromis niloticus_Grande;5000;6000
Bahía de Cispatá_Caranx hippos_Pequeño;5633;12000
Docordó_Centropomus armatus_Mediano;14000;16000
Docordó_Otros pescadilla_Pequeño;10000;10000
Docordó_Notarius troschelii_Pequeño;5000;8000
Bahía de Cispatá_Lutjanus synagris_Mediano;9810;23816
Bahía de Cispatá_Ariopsis canteri_Pequeño;5658;9400
Bahía de Cispatá_Bagre filamentosus_Pequeño;5200;7000
Puerto de Gamarra_Pseudoplatystoma magdaleniatum_Grande;12000;16000
Puerto de Gamarra_Colossoma macropomum_Revuelto;5900;10700
Puerto de Gamarra_Sternopygus aequilabiatus_Revuelto;1413;4000
Puerto de Gamarra_Pseudoplatystoma magdaleniatum_Pequeño;8000;13350
Docordó_Notarius troschelii_Mediano;6000;8000
Santropel - San Sebastián_Oreochromis niloticus_Mediano;3960;6460
Santropel - San Sebastián_Hoplias malabaricus_Mediano;2398;5750
Santropel - San Sebastián_Prochilodus magdalenae_Pequeño;4025;9168
Santropel - San Sebastián_Cyphocharax magdalenae_Pequeño;1449;3737
Santropel - San Sebastián_Hoplias malabaricus_Pequeño;1258;3581
Santropel - San Sebastián_Caquetaia kraussii_Pequeño;1676;3571
La Peinada_Oreochromis niloticus_Mediano;5021;7288
La Peinada_Caquetaia kraussii_Mediano;2320;2852
La Peinada_Cyphocharax magdalenae_Mediano;1281;1876
La Peinada_Hoplias malabaricus_Mediano;2818;3617
Bahía de Cispatá_Centropomus undecimalis_Pequeño;7706;16000
Bahía de Cispatá_Eugerres plumieri_Pequeño;5555;8939
Bahía de Cispatá_Chaetodipterus faber_Mediano;8000;11986
Bahía de Cispatá_Archosargus rhomboidalis_Pequeño;6222;10598
Bahía de Cispatá_Cathorops mapale_Revuelto;5647;7997
Bahía de Cispatá_Elops smithi_Grande;9628;12324
Bahía de Cispatá_Cynoscion leiarchus_Mediano;9299;14000
Santa Clara_Prochilodus magdalenae_Pequeño;4082;5510
Puerto Asure_Plagioscion magdalenae_Revuelto;5000;8135
Bahía de Cispatá_Xiphopenaeus kroyeri_Revuelto;3000;16229
Bahía de Cispatá_Penaeus schmitti_Grande;23256;39947
Bahía de Cispatá_Sepioteuthis sepioidea_Revuelto;7547;14000
Bahía de Cispatá_Centropomus undecimalis_Grande;14303;20000
Puerto Asure_Prochilodus magdalenae_Pequeño;6000;8500
Puerto Asure_Sorubim cuspicaudus_Mediano;7267;8700
Puerto Asure_Colossoma macropomum_Revuelto;5000;8000
Nueva Ola_Ageneiosus pardalis_Grande;3980;8014
Bahía de Cispatá_Megalops atlanticus_Grande;7002;14000
Puerto Asure_Cyphocharax magdalenae_Revuelto;2000;3011
Taganga_Euthynnus alletteratus_Pequeño;4213;11000
Taganga_Scomberomorus cavalla_Mediano;20000;24019
Isla Fuerte_Scomberomorus brasiliensis_Revuelto;15587;18000
Taganga_Caranx crysos_Grande;20000;20000
Taganga_Priacanthus arenatus_Mediano;5000;6000
Taganga_Auxis thazard_Mediano;3461;9308
Puerto Asure_Sorubim cuspicaudus_Revuelto;7336;10000
Puerto Asure_Oreochromis niloticus_Revuelto;5000;8957
Taganga_Scomberomorus brasiliensis_Mediano;19639;20000
Jodedor_Centropomus pectinatus_Mediano;11252;16000
Taganga_Euthynnus alletteratus_Grande;5293;13418
Jodedor_Scomberomorus cavalla_Mediano;21043;23120
Taganga_Seriola rivoliana_Mediano;13000;14000
Jodedor_Sphyraena barracuda_Mediano;8195;11710
Jodedor_Scomberomorus brasiliensis_Pequeño;13152;17972
Taganga_Elagatis bipinnulata_Mediano;18036;20000
Puerto Serviez_Prochilodus magdalenae_Mediano;3040;7954
Puerto Serviez_Prochilodus magdalenae_Grande;7096;19049
Betania (Montecristo)_Prochilodus magdalenae_Pequeño;5987;10000
Betania (Montecristo)_Curimata mivartii_Revuelto;2088;2463
Betania (Montecristo)_Hoplias malabaricus_Revuelto;1398;2033
Betania (Montecristo)_Pimelodus yuma_Revuelto;2975;3018
Betania (Montecristo)_Cynopotamus magdalenae_Revuelto;1328;2284
Betania (Montecristo)_Cyphocharax magdalenae_Revuelto;1010;1336
Puerto La Candelaria_Prochilodus magdalenae_Pequeño;3732;7427
Puerto La Candelaria_Hoplias malabaricus_Revuelto;1402;3295
El Puente_Pimelodus yuma_Revuelto;3795;9145
El Puente_Megaleporinus muyscorum_Revuelto;2374;5856
Puerto Serviez_Pimelodus grosskopfii_Grande;12592;21991
Puerto Serviez_Pimelodus grosskopfii_Pequeño;3994;8000
Puerto Serviez_Sorubim cuspicaudus_Grande;8925;15472
Playa Necoclí_Centropomus pectinatus_Revuelto;14000;20000
Playa Necoclí_Trichiurus lepturus_Mediano;8000;10000
Taganga_Tylosurus acus_Mediano;5997;7672
Playa Blanca (Ayapel)_Prochilodus magdalenae_Mediano;5594;9459
Playa Blanca (Ayapel)_Prochilodus magdalenae_Pequeño;3371;5721
Playa Blanca (Ayapel)_Pseudoplatystoma magdaleniatum_Pequeño;2915;3061
Playa Blanca (Ayapel)_Hoplias malabaricus_Revuelto;1459;2753
Playa Blanca (Ayapel)_Megaleporinus muyscorum_Revuelto;1471;2793
Playa Blanca (Ayapel)_Cynopotamus magdalenae_Revuelto;1116;2500
Playa Blanca (Ayapel)_Isorineloricaria tenuicauda_Revuelto;1505;2250
Belén (El Banco)_Prochilodus magdalenae_Mediano;5000;6000
Belén (El Banco)_Prochilodus magdalenae_Pequeño;3000;4000
Morrosquillo_Rachycentron canadum_Grande;9673;10000
Betania (Montecristo)_Plagioscion magdalenae_Grande;4981;5000
Betania (Montecristo)_Oreochromis niloticus_Grande;4945;5000
Betania (Montecristo)_Pseudoplatystoma magdaleniatum_Grande;4960;5000
Puerto La Candelaria_Plagioscion magdalenae_Mediano;5528;7986
Puerto La Candelaria_Plagioscion magdalenae_Pequeño;2323;5356
Morrosquillo_Bairdiella ronchus_Pequeño;6000;6000
Jodedor_Selar crumenophthalmus_Mediano;4969;8000
Morrosquillo_Alectis ciliaris_Mediano;7592;8000
Puerto Serviez_Pseudoplatystoma magdaleniatum_Grande;15962;21981
Playa Blanca (Ayapel)_Prochilodus magdalenae_Grande;7917;10000
Playa Blanca (Ayapel)_Ageneiosus pardalis_Grande;5944;6054
Playa Blanca (Ayapel)_Ageneiosus pardalis_Pequeño;2942;3051
Morrosquillo_Centropomus undecimalis_Grande;11365;12051
El Puente_Triportheus magdalenae_Revuelto;1209;1862
Palomino_Oreochromis niloticus_Revuelto;4000;6000
Belén (El Banco)_Plagioscion magdalenae_Grande;6800;10500
El Puente_Cynopotamus magdalenae_Revuelto;1333;2618
Puerto Serviez_Brycon moorei_Revuelto;12947;19499
Playa Blanca (Ayapel)_Caquetaia kraussii_Revuelto;1200;2375
Playa Blanca (Ayapel)_Plagioscion magdalenae_Grande;5935;6056
Belén (El Banco)_Pimelodus yuma_Revuelto;5000;7000
Belén (El Banco)_Megaleporinus muyscorum_Revuelto;1600;2800
Palomino_Prochilodus magdalenae_Mediano;8000;8006
Palomino_Hoplias malabaricus_Mediano;1000;1294
Betania (Montecristo)_Sorubim cuspicaudus_Grande;4943;5000
Jodedor_Sphyraena barracuda_Grande;11899;12000
Jodedor_Lutjanus analis_Mediano;14333;15021
Betania (Montecristo)_Plagioscion magdalenae_Pequeño;2964;3030
Taganga_Caranx latus_Grande;6000;10000
El Puente_Curimata mivartii_Revuelto;1944;2985
Belén (El Banco)_Plagioscion magdalenae_Pequeño;1600;4500
Los Tendales_Plagioscion magdalenae_Grande;7982;8012
Los Tendales_Plagioscion magdalenae_Pequeño;5981;6015
Belén (El Banco)_Oreochromis niloticus_Revuelto;5400;6368
