SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat;Cuartil_sup_Precio_Esp_Cat
Puerto Montecristo_Prochilodus magdalenae_Pequeño;10000;10000
Puerto Chucha_Lobotes surinamensis_Grande;9970;10040
Piedras Blancas_Panulirus argus_Pequeño;3970;8000
Piedras Blancas_Haemulon plumieri_Revuelto;3000;3000
Piedras Blancas_Lachnolaimus maximus_Revuelto;6931;7267
Agropez_Elops smithi_Mediano;12000;15000
Agropez_Lutjanus griseus_Mediano;14800;18000
Agropez_Lutjanus synagris_Mediano;13300;18000
Agropez_Caranx latus_Mediano;14050;14950
Puerto Chucha_Penaeus schmitti_Pequeño;38938;40028
Puerto Montecristo_Oreochromis niloticus_Pequeño;7994;8007
Puerto Montecristo_Curimata mivartii_Revuelto;1176;1855
Dorada_Oreochromis niloticus_Pequeño;3991;4004
Puerto Chucha_Centropomus undecimalis_Grande;19965;21865
Agropez_Trichiurus lepturus_Revuelto;10000;15000
Agropez_Chloroscombrus chrysurus_Mediano;10000;10000
Agropez_Scomberomorus cavalla_Revuelto;15200;17000
Casco urbano (Puerto Escondido)_Centropomus undecimalis_Grande;19362;20213
Agropez_Centropomus ensiferus_Revuelto;12000;12000
Agropez_Cynoscion acoupa_Revuelto;12000;12000
Agropez_Lutjanus synagris_Revuelto;14933;14933
Berlín_Pseudoplatystoma magdaleniatum_Grande;5990;7008
Berlín_Pseudoplatystoma magdaleniatum_Mediano;3983;6000
Dorada_Prochilodus magdalenae_Pequeño;7980;10000
Dorada_Plagioscion magdalenae_Grande;5969;6019
Puerto Principal (Leticia)_Crenicichla lenticulata_Grande;10714;10714
Puerto Principal (Leticia)_Crenicichla lenticulata_Pequeño;4000;4000
Puerto Principal (Leticia)_Zungaro zungaro_Pequeño;9615;9615
Puerto Principal (Leticia)_Brachyplatystoma vaillantii_Mediano;10345;10345
Puerto Principal (Leticia)_Pseudoplatystoma punctifer_Pequeño;13600;13600
Piedras Blancas_Panulirus argus_Grande;34510;35000
Piedras Blancas_Panulirus argus_Mediano;17730;18000
Casco urbano (Puerto Escondido)_Scomberomorus cavalla_Mediano;17567;18715
Puerto Principal (Leticia)_Prochilodus rubrotaeniatus_Grande;10755;11497
Puerto Principal (Leticia)_Schizodon fasciatus_Grande;11207;13621
Puerto Principal (Leticia)_Potamorhina altamazonica_Grande;8333;8333
Palomar_Prochilodus magdalenae_Grande;8594;10000
Palomar_Prochilodus magdalenae_Mediano;4025;8108
Palomar_Prochilodus magdalenae_Pequeño;3643;4660
Bazurto_Chaetodipterus faber_Grande;8981;8981
