SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_horas_trab_hist;Cuartil_sup_horas_trab_hist;Cuartil_inf_profundidad_hist;Cuartil_sup_profundidad_hist
Barrio Chino_Chinchorro continental;4;10,40500021;3;4
Barrio Chino_Red de enmalle de deriva continental;3,236000013;13;4;4
Guineal_Palangre o espinel de fondo;3;16,12999916;4;9
Playa de Arusí_Línea de mano fija marina;2,887000108;11,25649991;12;60
Bocanegra_Red de enmalle de encierro marina;5;12,175;2;2
Barrio Chino_Palangre calandrio;12;14,77000046;1;2
Playa de Arusí_Palangre o espinel de fondo;4,269999981;21,21999931;30;190
Barrio Chino_Red de enmalle fija continental;12;15,22549987;2;2
La Mata_Red de enmalle fija continental ciénaga;16,75;19,52500057;2;2
Lamas_Atarraya;5,5;9,930000305;1;4
Punta Bonita_Chinchorro marino;1,684999985;6,5;4;12
Plaza de mercado (La Dorada)_Red de enmalle de deriva continental;4,35;27,27399998;3;4
Puente Chambacú - Río Jella_Línea de mano fija marina;9;97;35;35
Sivirú_Red de enmalle fija marina;1,870000005;8,079999924;2;3
Bocanegra_Red de enmalle fija marina;6;26;2;10
Punta Bonita_Red de enmalle camaronera;2;13,07999992;4;4
Plaza de mercado (La Dorada)_Palangre calandrio;10;43,07649918;2;4
Puente Chambacú - Río Jella_Línea de mano correteo curricán o trolling;7;19,05599995;35;35
Sivirú_Línea de mano fija marina;2,987500012;8,967499924;2;3
El Ferry_Red de enmalle fija continental río;7,5;18;3;4
La Playa (El Banco)_Red de enmalle de deriva continental;7,829999924;13,5;4;6
Puerto Pozuelo - La Rinconada_Red de enmalle fija continental;15,32999992;21,67000008;1;3
Punta Bonita_Red de enmalle de deriva marina;3,5;27;4;6
Sivirú_Red de enmalle camaronera;2,519999981;9,991999817;3;3
Puente Chambacú - Río Jella_Palangre o espinel de fondo;19;241,9320007;35;90
San Miguel (Puerto Gaitán)_Red de enmalle de deriva continental;9,975;45,30099945;3;6
La Playa (El Banco)_Chinchorra;12,32999992;14,32999992;3;6
Villa Venecia_Red de enmalle fija continental;19,67000008;22,75;1;5
El Ferry_Chinchorra;3;12;3;4
Poportín_Red de enmalle fija marina;11,25;12,5;6;11
Tasajera La Playa_Red de enmalle fija marina;9;21;6;31
La Punta_Red de enmalle fija marina;14,07749987;17,14999962;4;14
La Punta_Buceo de caracol;6,887499928;13,84750009;2;4
Santropel - San Sebastián_Red de enmalle fija continental;21,42000008;25,44000006;5;10
Caño Grande_Atarraya;2,329999924;6;2;3
Caño Grande_Red de enmalle fija continental;15,92000008;18,75;2;3
Santropel - San Sebastián_Atarraya;3,829999924;9,5;4;9
Santuario_Red de enmalle de deriva continental;6,126000023;33,675;3;6
Carrizal_Red de enmalle fija marina;2,75;6,329999924;5;8
El Malecón (Neiva)_Atarraya;5,329999924;17;5;9
Bahía de Santa Marta_Red de enmalle fija marina;14,01100025;16,15899982;27;42
Bahía de Santa Marta_Línea de mano fija marina;2,529999971;14,57999992;34;87
Armenia_Red de enmalle fija continental;10,004;17,5;2;3
Caño Lobo_Atarraya;6;9,329999924;2;3
Damaquiel_Red de enmalle fija marina;6,5;28;4;24
Clarinetero_Atarraya;3,670000076;17,82999992;2;5
Bahía de Santa Marta_Línea de mano correteo curricán o trolling;2,450000048;6,055000186;31;63
El Ferry_Red de enmalle de deriva continental;3,5;10,5;3;4
Caño Lobo_Nasa de jaibas;3;5,872499943;1;2
Uveros_Red de enmalle fija marina;5,678999853;26,05;2;20
Caño Lobo_Red de enmalle de encierro marina;6;10;2;2
Puerto (Orocué)_Red de enmalle fija continental;23;36,02000046;4;10
Caño Lobo_Buceo de caracol;5;8;2;2
Barrio Abajo (Ciénaga)_Red de arrastre artesanal o changa;3,779999971;8,107999897;4;7
Barrio Abajo (Ciénaga)_Red de enmalle fija marina;7,386000109;21;7;29
Cabo de la Vela_Red de enmalle fija marina;11,82999992;49,41999817;6;60
Caño Lobo_Recolección manual de ostra;3,5;6;1;2
Cabo de la Vela_Nasas de Peces;23,57999992;119,1699982;6;9
Caño Lobo_Línea de mano fija marina;7;9,329999924;2;3
El Muelle (Puerto López)_Red de enmalle fija continental;20;97;2;3
Caño Lobo_Red de enmalle fija marina;14,07999992;19;2;3
El Ferry_Red de enmalle fija continental ciénaga;16;44;2;4
Las Balsas_Red de enmalle fija continental;21;74;2;3
Caño Lobo_Palangre o espinel de fondo;7;10;2;2
Puerto Amor_Red de enmalle fija continental;14,44400005;45,76400032;2;6
Puerto Arriba (Dibulla)_Red de enmalle de encierro marina;3,829999924;11,32999992;8;10
Sempegua_Red de enmalle fija continental ciénaga;7,974499989;19;2;4
Puerto Franco_Red de enmalle fija continental;14;19,17000008;1;3
Puerto Rico [Meta]_Palangre calandrio;12;20,725;6;8
Caño Lobo_Buceo de peces;7;9,5;2;3
Puerto El Waffe marino_Red de enmalle fija marina;13;68,83000183;5;5
Santa Rosa_Red de enmalle de deriva marina;6,785000086;8;11;11
Bellavista_Chinchorro de jala playa;1,169999957;6,547999954;20;20
Barrio Abajo (Ciénaga)_Red de enmalle de encierro marina;3,670000076;13;7;16
Santa Rosa_Buceo marino mixto;6,5;8;11;11
Bellavista_Línea de mano fija marina;2,25;15,52399998;30;40
Bellavista_Línea de mano correteo curricán o trolling;2,529999971;5,579999924;30;30
Tajamar Occidental_Red de enmalle de deriva marina;5;7,75;7;7
Sempegua_Atarraya;5,75;8,510000038;2;4
La T_Nasas de Peces;8,039999962;169,5400009;12;14
La T_Red de enmalle de encierro marina;8,079999924;11,57999992;12;12
Concepción - Tacamocho_Chinchorra;18,05199995;22,77799997;5;8
Tajamar Occidental_Línea de mano cometa;4,25;7,493000007;2;2
Pantuuchitu_Red de enmalle fija marina;12,17000008;16,22099962;5;9
Santuario_Atarraya;5,884000015;27,99799995;2;6
Pantuuchitu_Línea de mano fija marina;2;11,2625;6;8
Guazo_Red de enmalle fija continental;16;20,89999962;2;6
Bellavista_Nasas de Peces;33,55;72,1625;20;35
Desembarcadero (Murindó)_Red de enmalle fija continental;2,670000076;4,679999828;2;2
Rincón_Red de enmalle fija continental;18,5;22,17000008;1;5
Riosucio_Red de enmalle fija continental;19,54899931;50,45100079;3;7
Nueva Colonia_Red de enmalle fija marina;19,25;67,58000183;5;5
Guazo_Red de enmalle de deriva continental;2,329999924;8,145999718;4;20
Rincón_Atarraya;4,810000181;7,769999981;1;4
La Charca de Guarinocito_Atarraya;1,776999974;4,986000013;2;2
Marralú_Chinchorro continental;5;16,75;4;5
Mercado (Lorica)_Atarraya;2,730000019;6,487999916;2;2
El Valle_Línea de mano fija marina;4;21,5;5;10
Lamas_Red de enmalle fija continental;18,84699993;26,34800034;1;4
Playa Pescadores - Capurganá_Línea de mano fija marina;2,5;12;6;200
Curillo_Palangre calandrio;12,82999992;15;2;4
Marralú_Nasas de Peces;13,25;16,55;3;4
Mercado (Lorica)_Línea de mano fija continental;5,063999939;17;2;2
Isla Fuerte_Buceo marino mixto;5,079999924;7,920000076;4;12
Macurutú - Saloa_Red de enmalle fija continental ciénaga;3,25;20,5;2;5
Costilla_Atarraya;5,904999924;15,52799997;2;3
Marralú_Red de enmalle de deriva continental;2,218000031;9,5;4;5
Limones_Red de enmalle fija marina;5,329999924;11,5;2;5
Isla Fuerte_Línea de mano fija marina;5,079999924;12,11599998;8;125
Poportín_Buceo marino mixto;2,678000069;5,670000076;6;10
Costilla_Red de enmalle fija continental;13,67000008;17,17000008;2;3
Isla Fuerte_Línea de mano correteo curricán o trolling;6,170000076;11,92000008;12;80
Isla Fuerte_Red de enmalle fija marina;7,634000015;16,17999992;10;24
Puerto Playa - Capurganá_Línea de mano fija marina;3,5;12,25;40;200
El Valle_Palangre o espinel de fondo;17,17000008;46,26899872;49;80
Belén (El Banco)_Red de enmalle fija continental ciénaga;7;19,5;2;3
Policía fluvial (Quibdó)_Línea de mano fija continental;14,58500004;19,32999992;5;9
Belén (El Banco)_Chinchorro continental;8,5;12;1;3
Puerto Real - Saloa_Red de enmalle fija continental ciénaga;6,426999855;17,43200035;2;2
Puerto Simití_Red de enmalle fija continental;5,5;13,5;4;6
Puerto Simití_Atarraya;4,329999924;6,75;3;6
Las Flores_Red de enmalle de deriva marina;8,5;15;23;68
Chapundun_Atarraya;12,5;16,5;2;5
Chapinero_Atarraya;13;16,82999992;2;5
Puerto del Pescado (San José Del Guaviare)_Red de enmalle de deriva continental;1;10,4915;4;13
Chapundun_Línea de mano fija continental;4;16,15300007;2;5
Robles_Red de enmalle fija continental;18,25;26;1;5
Las Flores_Palangre o espinel de fondo;6,884000015;11,17000008;19;78
Puerto Boca_Línea de mano fija continental;1,5;12,89249992;7;10
Yaguará_Red de enmalle fija continental;7,420000076;16,67000008;3;4
Puerto Boca_Red de enmalle de deriva continental;2,58399992;14,29799995;1;9
Taganga_Línea de mano fija marina;9,670000076;12,42000008;14;20
Yaguará_Atarraya;6,329999924;15,92000008;3;10
Mamón_Red de enmalle fija continental;19;23,70600004;1;4
Las Flores_Línea de mano fija marina;7,670000076;31,77399998;3;4
Puerto Boca_Chinchorro continental;6,178000069;15,57199993;1;4
Doña Ana_Red de enmalle fija continental;14;20,07999992;2;4
Puerto La Candelaria_Atarraya rastra;1,325000036;6;3;6
Yaguará_Chinchorra;5,579999924;17,32999992;3;4
Taganga_Línea de mano - Ballestilla;10;11,60699997;36;36
Los Tendales_Red de enmalle fija continental;17,07999992;19,25;2;2
Taganga_Buceo de peces;7,670000076;10,5;24;24
Puerto La Candelaria_Chinchorro continental;1,830000043;20,25250006;3;4
