SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Puerto Ciénaga de Paredes_ Red de enmalle fija continental_Prochilodus magdalenae;0,195833325;0,211428574
Usaragá_ Línea de mano fija marina_Notarius troschelii;0,230769231;2
Barrio Chino_ Chinchorro continental_Sorubim cuspicaudus;0,428750008;1,965000004
Barrio Chino_ Chinchorro continental_Prochilodus magdalenae;0,278550006;0,771710525
Barrio Chino_ Chinchorro continental_Ichthyoelephas longirostris;0,638374996;1,107249981
Barrio Chino_ Red de enmalle de deriva continental_Ichthyoelephas longirostris;0,479999995;1,280000019
Barrio Chino_ Red de enmalle de deriva continental_Prochilodus magdalenae;0,288374993;0,653249973
Barrio Chino_ Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;0,450499998;7,260000062
Guineal_ Palangre o espinel de fondo_Cynoscion albus;1,2;6,7
Guineal_ Palangre o espinel de fondo_Bagre pinnimaculatus;1;4
Guineal_ Palangre o espinel de fondo_Menticirrhus panamensis;0,5;1
Guineal_ Palangre o espinel de fondo_Epinephelus quinquefasciatus;2,5;24,95
Playa de Arusí_ Línea de mano fija marina_Lutjanus novemfasciatus;2,95;17,5
Bocanegra_ Red de enmalle de encierro marina_Mugil incilis;0,096666664;0,245000005
Bocanegra_ Red de enmalle de encierro marina_Ariopsis canteri;0,15733333;0,5
Playa de Arusí_ Palangre o espinel de fondo_Brotula clarkae;1;4,5
Guineal_ Palangre o espinel de fondo_Notarius troschelii;0,333333333;1,5
Guineal_ Palangre o espinel de fondo_Oligoplites altus;0,5;2
La Mata_ Red de enmalle fija continental ciénaga_Prochilodus magdalenae;0,13559322;0,321428571
La Mata_ Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;0,143796992;0,25
La Mata_ Red de enmalle fija continental ciénaga_Plagioscion magdalenae;0,158522727;0,375
Playa de Arusí_ Palangre o espinel de fondo_Sphyrna lewini;35,25;39,75
Bocanegra_ Red de enmalle de encierro marina_Mugil liza;0,458999988;1,090999997
Bocanegra_ Red de enmalle de encierro marina_Centropomus undecimalis;0,116181394;1,5
Bocanegra_ Red de enmalle de encierro marina_Caranx hippos;0,04765625;0,128749996
Lamas_ Atarraya_Cyphocharax magdalenae;0,039873654;0,049999999
Barrio Chino_ Red de enmalle fija continental_Prochilodus magdalenae;0,25999999;0,608333349
Playa de Arusí_ Palangre o espinel de fondo_Caranx caninus;1,25;6,05
Plaza de mercado (La Dorada)_ Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1,916666667;7,914285714
Puente Chambacú - Río Jella_ Línea de mano fija marina_Caranx sexfasciatus;0,605669738;5,5
Puente Chambacú - Río Jella_ Línea de mano fija marina_Lutjanus argentiventris;0,569860627;2,2625
Puente Chambacú - Río Jella_ Línea de mano fija marina_Haemulon flaviguttatum;0,5;1,077380952
Sivirú_ Red de enmalle fija marina_Bairdiella ensifera;0,886666667;6,25
Sivirú_ Red de enmalle fija marina_Centropomus medius;0,125;1,5
Sivirú_ Red de enmalle fija marina_Centropomus robalito;0,5;1,2625
Lamas_ Atarraya_Oreochromis niloticus;0,128785711;0,46983332
Bocanegra_ Red de enmalle fija marina_Eugerres plumieri;0,0854;0,247222222
Bocanegra_ Red de enmalle fija marina_Ariopsis canteri;0,222941178;0,787500009
Bocanegra_ Red de enmalle fija marina_Caranx hippos;0,060714287;6,25
Playa de Arusí_ Línea de mano fija marina_Seriola rivoliana;2,775;19,225
Plaza de mercado (La Dorada)_ Palangre calandrio_Pimelodus grosskopfii;0,117795396;0,317192515
Puente Chambacú - Río Jella_ Línea de mano correteo curricán o trolling_Thunnus albacares;3,633522727;23,5982906
Puente Chambacú - Río Jella_ Línea de mano correteo curricán o trolling_Lutjanus novemfasciatus;3;10,825
Puente Chambacú - Río Jella_ Línea de mano correteo curricán o trolling_Sarda orientalis;2,033333333;5,666666667
Lamas_ Atarraya_Caquetaia kraussii;0,050000002;0,120000005
Sivirú_ Línea de mano fija marina_Lutjanus peru;0,165151515;3
Sivirú_ Línea de mano fija marina_Lutjanus jordani;0,114761905;0,590196078
Puente Chambacú - Río Jella_ Línea de mano fija marina_Lutjanus novemfasciatus;2;12
Puente Chambacú - Río Jella_ Línea de mano fija marina_Thunnus albacares;2,568421053;14,2
El Ferry_ Red de enmalle fija continental río_Prochilodus magdalenae;0,127192982;0,524999976
La Playa (El Banco)_ Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1;6,25
Puerto Pozuelo - La Rinconada_ Red de enmalle fija continental_Trichopodus pectoralis;0,082529069;0,125
Puerto Pozuelo - La Rinconada_ Red de enmalle fija continental_Hoplias malabaricus;0,155125001;0,233249991
Puerto Pozuelo - La Rinconada_ Red de enmalle fija continental_Caquetaia kraussii;0,074000001;0,090000002
Puente Chambacú - Río Jella_ Línea de mano correteo curricán o trolling_Seriola rivoliana;6;20,5
El Ferry_ Red de enmalle fija continental río_Curimata mivartii;0,070411532;0,135742853
El Ferry_ Red de enmalle fija continental río_Cynopotamus magdalenae;0,118409091;0,171428578
El Ferry_ Red de enmalle fija continental río_Megaleporinus muyscorum;0,125431034;0,193605764
Bocanegra_ Red de enmalle fija marina_Mugil incilis;0,125;0,289705882
Bocanegra_ Red de enmalle fija marina_Penaeus monodon;0,069000001;0,11475
Bocanegra_ Red de enmalle fija marina_Centropomus undecimalis;0,131818182;6,004000092
Bocanegra_ Red de enmalle fija marina_Chaetodipterus faber;0,133999996;0,242
Guineal_ Palangre o espinel de fondo_Lutjanus peru;0,5;3
Puerto Pozuelo - La Rinconada_ Red de enmalle fija continental_Cyphocharax magdalenae;0,055000001;0,09375
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Brotula clarkae;0,733333333;5,954545455
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Hyporthodus acanthistius;1;7,559210526
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Mustelus lunulatus;0,8;8,545454545
San Miguel (Puerto Gaitán)_ Red de enmalle de deriva continental_Brachyplatystoma platynemum;2,558333333;4,532604249
La Playa (El Banco)_ Chinchorra_Pseudoplatystoma magdaleniatum;0,666666667;4,5
La Playa (El Banco)_ Chinchorra_Sorubim cuspicaudus;0,550000012;1,25
La Playa (El Banco)_ Chinchorra_Ageneiosus pardalis;0,5;1,5
La Playa (El Banco)_ Chinchorra_Prochilodus magdalenae;0,166666667;0,550000012
Villa Venecia_ Red de enmalle fija continental_Caquetaia kraussii;0,061824794;0,108333329
Villa Venecia_ Red de enmalle fija continental_Hoplias malabaricus;0,11;0,183333337
Villa Venecia_ Red de enmalle fija continental_Cyphocharax magdalenae;0,042857142;0,066789218
Villa Venecia_ Red de enmalle fija continental_Megaleporinus muyscorum;0,07491667;0,125
El Ferry_ Chinchorra_Pseudoplatystoma magdaleniatum;0,229999995;2,814999962
El Ferry_ Chinchorra_Prochilodus magdalenae;0,11989058;0,412999995
El Ferry_ Chinchorra_Megaleporinus muyscorum;0,130112721;0,191666663
Puerto Pozuelo - La Rinconada_ Red de enmalle fija continental_Prochilodus magdalenae;0,117391306;0,275000006
Poportín_ Red de enmalle fija marina_Haemulon plumieri;0,16;0,285714286
Poportín_ Red de enmalle fija marina_Caranx crysos;0,181818182;0,5
Villa Venecia_ Red de enmalle fija continental_Prochilodus magdalenae;0,149999998;0,388846155
El Ferry_ Chinchorra_Plagioscion magdalenae;0,166666667;1,5
El Ferry_ Chinchorra_Sorubim cuspicaudus;0,25;1,25999999
El Ferry_ Chinchorra_Pimelodus yuma;0,054885844;0,110661657
Tasajera La Playa_ Red de enmalle fija marina_Sciades proops;0,285714286;3,5
La Punta_ Red de enmalle fija marina_Cathorops mapale;0,087978723;0,14129412
La Punta_ Red de enmalle fija marina_Centropomus undecimalis;0,136363636;3,480000019
La Punta_ Red de enmalle fija marina_Mugil incilis;0,125;0,444166653
Villa Venecia_ Red de enmalle fija continental_Pimelodus yuma;0,060000002;0,095833331
Bocanegra_ Red de enmalle de encierro marina_Eugerres plumieri;0,057625001;0,25
La Mata_ Red de enmalle fija continental ciénaga_Curimata mivartii;0,125;0,181818182
La Punta_ Buceo de caracol_Melongena melongena;0,06065705;0,095052913
Santropel - San Sebastián_ Red de enmalle fija continental_Caquetaia kraussii;0,063932804;0,093999997
Santropel - San Sebastián_ Red de enmalle fija continental_Hoplias malabaricus;0,130000004;0,218326921
Santropel - San Sebastián_ Red de enmalle fija continental_Cyphocharax magdalenae;0,046981132;0,066981131
Tasajera La Playa_ Red de enmalle fija marina_Centropomus undecimalis;2,5;5,25
La Punta_ Red de enmalle fija marina_Ariopsis canteri;0,360000002;2
La Playa (El Banco)_ Red de enmalle de deriva continental_Brycon moorei;0,5;2,5
Puente Chambacú - Río Jella_ Línea de mano fija marina_Seriola rivoliana;3,08;19,225
Puente Chambacú - Río Jella_ Línea de mano fija marina_Caranx caninus;1,55;6
La Playa (El Banco)_ Red de enmalle de deriva continental_Plagioscion magdalenae;0,5;2
Caño Grande_ Atarraya_Prochilodus magdalenae;0,144611112;0,290000002
El Ferry_ Chinchorra_Curimata mivartii;0,068965517;0,139496528
Tasajera La Playa_ Red de enmalle fija marina_Lutjanus synagris;0,25;0,357142857
Tasajera La Playa_ Red de enmalle fija marina_Caranx hippos;0,180213904;6
Tasajera La Playa_ Red de enmalle fija marina_Caranx crysos;0,25;0,375
Tasajera La Playa_ Red de enmalle fija marina_Micropogonias furnieri;0,333333333;0,464871795
Tasajera La Playa_ Red de enmalle fija marina_Sciades herzbergii;0,266491228;0,450227273
Tasajera La Playa_ Red de enmalle fija marina_Conodon nobilis;0,103896104;0,222222222
Tasajera La Playa_ Red de enmalle fija marina_Panulirus argus;0,5;1
Caño Grande_ Red de enmalle fija continental_Prochilodus magdalenae;0,195851845;0,290000002
Caño Grande_ Red de enmalle fija continental_Eugerres plumieri;0,100000001;0,25
Caño Grande_ Red de enmalle fija continental_Ariopsis canteri;0,119999997;0,280000001
Santropel - San Sebastián_ Atarraya_Cyphocharax magdalenae;0,040833334;0,06387455
Caño Grande_ Red de enmalle fija continental_Megaleporinus muyscorum;0,239999995;0,550000012
La Punta_ Red de enmalle fija marina_Lobotes surinamensis;0,550000012;2,700000048
Tasajera La Playa_ Red de enmalle fija marina_Scomberomorus brasiliensis;0,272727273;1,802857143
Tasajera La Playa_ Red de enmalle fija marina_Euthynnus alletteratus;0,256818182;0,428571429
Tasajera La Playa_ Red de enmalle fija marina_Balistes capriscus;0,375;0,625
