SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_VALOR_Hist;Cuartil_sup_VALOR_Hist
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;2465;16525
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;3775;27700
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;7000;54700
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;4200;70000
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Caranx caballus;168000;938000
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;7175;94625
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;3530;38805
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;2000;27300
Puerto Miraflores_Red de enmalle - Red de enmalle marina de fondo_Centropomus viridis;56400;313200
Puerto Miraflores_Red de enmalle - Red de enmalle marina de fondo_Sciades dowii;35000;115500
Puerto Miraflores_Red de enmalle - Red de enmalle marina de fondo_Euprepocaranx dorsalis;14000;14000
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;16550;141425
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;7520;144745
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;2000;54600
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;10760;165200
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Lutjanus guttatus;80000;572000
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;18000;366000
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Caranx hippos;38400;198000
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;75000;437375
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Penaeus schmitti;29500;505200
Taganga_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;10000;101300
Taganga_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;20000;268240
Taganga_Red de enmalle - Red de enmalle fija marina_Caranx crysos;14400;296620
Taganga_Red de enmalle - Red de enmalle fija marina_Seriola rivoliana;9725;93025
Taganga_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;5985;132480
Taganga_Red de enmalle - Red de enmalle fija marina_Euthynnus alletteratus;5650;178975
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;40570;195330
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;2600;2600
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;2770;11000
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Scomberomorus sierra;60200;434000
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Caranx caballus;161000;840000
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Haemulon flaviguttatum;84000;280000
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Kyphosus ocyurus;59500;420000
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Mulloidichthys dentatus;16450;79100
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;4000;49500
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;3430;23595
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;6330;20940
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;3030;11340
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;3275;37500
Playa Totumo_Red de enmalle - Red de enmalle camaronera_Penaeus schmitti;33500;1008000
Playa Totumo_Red de enmalle - Red de enmalle camaronera_Centropomus pectinatus;21300;174000
Playa Totumo_Red de enmalle - Red de enmalle camaronera_Conodon nobilis;30300;137400
Playa Totumo_Red de enmalle - Red de enmalle camaronera_Caranx hippos;216000;216000
Puerto Simití_Atarraya - Atarraya_Oreochromis niloticus;21540;78640
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;15200;197600
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Cynoscion virescens;15000;60000
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;13200;132000
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;4130;31620
Palenquito_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;27030;203850
Palenquito_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;18620;156000
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Caranx crysos;7000;991500
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Epinephelus itajara;157360;1102000
Candelaria (Achí)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;3000;50000
Candelaria (Achí)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;400;1200
Candelaria (Achí)_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;700;9050
Candelaria (Achí)_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;280;1320
Damaquiel_Red de enmalle - Red de enmalle fija marina_Nebris microps;56200;1200000
Damaquiel_Red de enmalle - Red de enmalle fija marina_Penaeus schmitti;40000;590100
Damaquiel_Red de enmalle - Red de enmalle camaronera_Nebris microps;67600;9,00E+05
